number,date,pages
1,25/10/2019,13
2,30/10/2019,124
3,31/10/2019,26
4,06/11/2019,53
5,13/11/2019,36
6,14/11/2019,33
7,15/11/2019,59
8,20/11/2019,56
9,21/11/2019,29
10,22/11/2019,50
11,27/11/2019,35
12,28/11/2019,46
13,29/11/2019,55
14,04/12/2019,58
15,10/12/2019,42
16,11/12/2019,57
17,12/12/2019,90
18,18/12/2019,68
19,19/12/2019,63
20,20/12/2019,61
21,09/01/2020,91
22,10/01/2020,97
23,03/02/2020,42
24,04/02/2020,87
25,06/02/2020,78
26,06/02/2020,78
27,12/02/2020,59
28,13/02/2020,35
29,14/02/2020,46
30,18/02/2020,41
31,19/02/2020,50
32,20/02/2020,83
33,26/02/2020,71
34,27/02/2020,43
35,28/02/2020,66
36,04/03/2020,37
37,05/03/2020,38
38,06/03/2020,57
39,11/03/2020,44
40,12/03/2020,46
41,13/03/2020,55
42,18/03/2020,57
43,24/03/2020,29
44,02/04/2020,89
45,08/04/2020,139
46,16/04/2020,46
47,22/04/2020,43
48,25/04/2020,21
49,30/04/2020,70
50,06/05/2020,63
51,07/05/2020,52
52,13/05/2020,72
53,14/05/2020,54
54,20/05/2020,31
55,21/05/2020,65
56,27/05/2020,63
57,28/05/2020,60
58,03/06/2020,44
59,04/06/2020,61
60,05/06/2020,58
61,08/06/2020,71
62,09/06/2020,73
63,17/06/2020,67
64,18/06/2020,51
65,19/06/2020,54
66,24/06/2020,39
67,25/06/2020,42
68,26/06/2020,99
69,01/07/2020,46
70,02/07/2020,37
71,03/07/2020,63
72,07/07/2020,70
73,08/07/2020,32
74,09/07/2020,64
75,10/07/2020,81
76,23/07/2020,114
77,24/07/2020,63
78,10/09/2020,42
